WeekEndDate,LTLA,Lineage,Count,day,lat,lon
2020-09-12,E09000023,B.1.177,1,8.0,51.442299,-0.01734
2020-09-12,E09000024,B.1.177,2,8.0,51.41058,-0.18868
2020-09-12,E09000025,B.1.177,5,8.0,51.53149,0.027261
2020-09-12,E09000026,B.1.177,14,8.0,51.58588,0.070085
2020-09-12,E09000027,B.1.177,1,8.0,51.44035,-0.28914
2020-09-12,E09000028,B.1.177,2,8.0,51.465939,-0.07308
2020-09-12,E09000029,B.1.177,2,8.0,51.357552,-0.17226
2020-09-12,E09000030,B.1.177,1,8.0,51.515541,-0.03647
2020-09-12,E09000031,B.1.177,1,8.0,51.594608,-0.0188
2020-09-12,E09000032,B.1.177,8,8.0,51.4524,-0.20021
2020-09-12,E09000033,B.1.177,1,8.0,51.512211,-0.15295
2020-09-19,E06000001,B.1.177,1,15.0,54.67614,-1.27018
2020-09-19,E06000002,B.1.177,1,15.0,54.54467,-1.21099
2020-09-19,E06000004,B.1.177,3,15.0,54.556911,-1.30664
2020-09-19,E06000006,B.1.177,14,15.0,53.33424,-2.68853
2020-09-19,E06000007,B.1.177,8,15.0,53.391628,-2.56167
2020-09-19,E06000008,B.1.177,1,15.0,53.700802,-2.4636
2020-09-19,E06000009,B.1.177,1,15.0,53.82164,-3.02199
2020-09-19,E06000018,B.1.177,1,15.0,52.954189,-1.16667
2020-09-19,E06000023,B.1.177,1,15.0,51.471149,-2.57742
2020-09-19,E06000030,B.1.177,1,15.0,51.577629,-1.73367
2020-09-19,E06000035,B.1.177,1,15.0,51.44772,0.563174
2020-09-19,E06000045,B.1.177,1,15.0,50.9212,-1.39952
2020-09-19,E06000047,B.1.177,1,15.0,54.685131,-1.8405
2020-09-19,E06000049,B.1.177,2,15.0,53.167931,-2.29299
2020-09-19,E06000050,B.1.177,2,15.0,53.163361,-2.70298
2020-09-19,E06000056,B.1.177,1,15.0,51.999031,-0.47754
2020-09-19,E06000057,B.1.177,2,15.0,55.300369,-2.07523
2020-09-19,E06000059,B.1.177,1,15.0,50.79697,-2.41467
2020-09-19,E07000012,B.1.177,1,15.0,52.108051,0.091017
2020-09-19,E07000027,B.1.177,3,15.0,54.15731,-3.1999
2020-09-19,E07000032,B.1.177,3,15.0,53.028839,-1.46219
2020-09-19,E07000037,B.1.177,1,15.0,53.385689,-1.84398
2020-09-19,E07000103,B.1.177,1,15.0,51.6717,-0.40429
2020-09-19,E07000118,B.1.177,1,15.0,53.672401,-2.61921
2020-09-19,E07000119,B.1.177,1,15.0,53.797089,-2.91914
2020-09-19,E07000121,B.1.177,2,15.0,54.07901,-2.6603
2020-09-19,E07000122,B.1.177,1,15.0,53.88636,-2.18957
2020-09-19,E07000125,B.1.177,1,15.0,53.68478,-2.26149
2020-09-19,E07000126,B.1.177,3,15.0,53.726749,-2.72871
2020-09-19,E07000127,B.1.177,1,15.0,53.612831,-2.86893
2020-09-19,E07000128,B.1.177,1,15.0,53.89991,-2.80359
2020-09-19,E07000129,B.1.177,1,15.0,52.577061,-1.19887
2020-09-19,E07000146,B.1.177,1,15.0,52.71283,0.533243
2020-09-19,E07000154,B.1.177,1,15.0,52.237751,-0.88121
2020-09-19,E07000177,B.1.177,1,15.0,51.887199,-1.28506
2020-09-19,E07000178,B.1.177,2,15.0,51.753571,-1.24405
2020-09-19,E07000187,B.1.177,1,15.0,51.194759,-2.54178
